candidate_id,ra_epoch_A,dec_epoch_A,ra_epoch_B,dec_epoch_B,separation_arcsec,motion_arcsec_per_day,flux_A,flux_B,flux_ratio_B_over_A,source_A_id,source_B_id
MOTION-300,154.07557943419494,-40.85433037206041,154.07634919007154,-40.87329805363302,68.31580596808696,2.2152254496852954,2.178797300646941,1.596028617150708,0.7325273519830441,3382.0,3278.0
MOTION-301,153.81592162184862,-43.496598172708985,153.84182270929406,-43.49396414365737,68.30345783718084,2.2148250460971117,565.3470065003174,795.1810364166283,1.4065362109884663,13562.0,12851.0
MOTION-302,156.38287566308344,-44.66228394093525,156.39365523432255,-44.64493013390239,68.3010878851829,2.2147481974395284,5.956753508456507,7.75486323160768,1.301860689820132,13741.0,13006.0
MOTION-303,153.73366930845592,-43.13795116909536,153.72940891994915,-43.11927486862331,68.16009165187658,2.210176218233489,4.614983529236551,2.53171585658663,0.5485861088231115,12272.0,11612.0
MOTION-304,154.09828234255434,-42.81823801001744,154.1084379510558,-42.80084366151564,68.12192097191982,2.2089384861966086,3.511531549861204,3.853431635338771,1.0973649476369025,10416.0,9853.0
MOTION-305,157.61542463031574,-42.38040465335516,157.60500600931485,-42.39767058906523,68.05104920190684,2.2066403804160757,0.4060524398042278,0.5536232563246939,1.3634279764249544,3257.0,3190.0
MOTION-306,153.15864303688676,-42.67296331013063,153.14094344795356,-42.65928080746065,67.98144199722898,2.2043832797481007,4.004365708738576,2.2795139979119603,0.5692571966984591,11467.0,10899.0
MOTION-307,154.9608303137791,-41.56227648535685,154.98528979792937,-41.56690404721802,67.9564415117123,2.2035726077376303,19.47104212429096,10.66367213377767,0.5476682791659252,4470.0,4224.0
MOTION-308,155.76457738729823,-42.3387827270403,155.75567013804664,-42.35646389458937,67.92092489037783,2.202420936870954,2.1042063747942605,2.7157288020512658,1.290619035557668,6019.0,5777.0
MOTION-309,153.8599092038064,-41.130951030138256,153.87811785125152,-41.14390226595431,67.9051913375092,2.2019107567415586,5.431646707665779,4.744109397684684,0.8734200976269754,4717.0,4480.0
MOTION-310,155.43187396402288,-41.83787982363168,155.4091587785636,-41.82958746680025,67.8491549754158,2.200093707617157,2.507477669202749,1.271542428637767,0.507100200434508,4721.0,4477.0
MOTION-311,156.17299925447608,-41.33744933930566,156.19676585707683,-41.33145630718765,67.76998480000725,2.197526515663029,0.5287527936621542,0.6087382499031982,1.1512719312309687,1788.0,1676.0
MOTION-312,156.064876349949,-43.93131197193999,156.06935517851238,-43.91278304838952,67.7075951380131,2.195503452843405,5.95560062632713,8.306197630540447,1.394686808551659,11332.0,10735.0
MOTION-313,157.24945331808794,-43.38684727429746,157.2483642095035,-43.36807262806229,67.64877930842566,2.1935962760092864,2.1120930967835463,1.2372727601980178,0.585804083201744,7480.0,7073.0
MOTION-314,157.67210044118417,-42.83997599830722,157.67060570285423,-42.85872980021593,67.62885232693212,2.1929501187120937,3.438233085075671,5.931462950888191,1.7251485876960688,4832.0,4639.0
MOTION-315,154.04869408553012,-40.96832035063147,154.04410605011986,-40.94986803133676,67.58925017129772,2.1916659692860487,2.08083626531901,1.8929351114329735,0.9096992122745277,3828.0,3598.0
MOTION-316,154.01430753748474,-43.60971550712887,153.988495536666,-43.60809768149359,67.53401498997813,2.1898748994502584,4.701065393419232,2.872874939690047,0.6111114607577316,13670.0,13060.0
MOTION-317,155.0257691162946,-43.14561347619414,155.051373639665,-43.1472841875492,67.52097761035596,2.1894521461104275,3.1537031966687405,3.419686340839953,1.0843399418347837,10102.0,9603.0
MOTION-318,155.15801663320477,-44.32427160745808,155.153616735063,-44.30578444554367,67.51186681203744,2.189156717080262,3.527858990105012,3.745095100800996,1.061577322479524,14581.0,13812.0
