source_a,source_b,ra_a,dec_a,ra_b,dec_b,separation_arcsec,flux_a,flux_b,brightness_change_percent
11943,11382,154.91734208968685,-43.583061498315544,154.91782544034479,-43.583132708319205,1.2862632592781766,1.0920737070712334,0.8720368016661785,-20.148539789970645
11945,11384,156.49173097827892,-44.26808077943704,156.49139152162795,-44.268140241092794,0.9008843169008267,1.9315488360375956,1.76215894251022,-8.769640734265062
11951,11389,156.0864803996041,-44.09613426974668,156.08635727680152,-44.09650447087424,1.3702128819613744,2.847279014689834,2.949897398322889,3.604085974841963
11952,11390,156.78260568748092,-44.394255644141616,156.78251465050133,-44.39424174458381,0.23946570707065493,2.5750971391093858,2.63760843737611,2.427531657634646
11958,11395,155.0888540994862,-43.664153529410335,155.0885850388982,-43.66427753110616,0.8308155910989787,5.709357146936577,5.995408692747531,5.010223365767855
11960,11405,155.42336369005199,-43.81271317485513,155.42388440786925,-43.812525261855086,1.5124387104375934,1.285676155447051,1.3783994997719327,7.21202955596856
11962,11398,156.39138463899823,-44.23117584265221,156.39136963738588,-44.23127255345239,0.35030279654394486,23.701409444405325,23.44437339315542,-1.0844758066089522
11963,11400,153.04958303732616,-42.75431732676178,153.0493123432962,-42.754479936851176,0.9244966628578939,8.483683384504225,8.780950302732354,3.50398411580397
11970,11416,156.49623431415978,-44.27899185827743,156.49714155267228,-44.27875906921837,2.4839734322841194,3.028547266498489,3.691180623999878,21.87957786993712
11971,11407,156.51374357642706,-44.28403538589481,156.51364150338097,-44.284215811124696,0.700779379074241,14.207052836250522,12.966282996080857,-8.733478044114358
11978,11415,156.48422740860707,-44.27457061901185,156.48378236676547,-44.27460536266649,1.1539423957558392,2.164894334972925,1.5461787508016136,-28.579481879380005
11980,11418,152.84826647712168,-42.66587605179498,152.8484677258328,-42.665928792179585,0.5655571823769096,9.463027943717712,9.283962546698087,-1.8922632172771199
11983,11433,153.88640614692224,-43.13669204398131,153.8870166611,-43.13699852999137,1.9466959171139375,106.01852375803774,97.94609793748226,-7.614165463177819
11984,11420,154.1461609774578,-43.253898857940946,154.14572956188772,-43.25387247532247,1.1351382830934038,7.269055545939035,7.686357016781874,5.740793535082701
11985,11434,154.27716678513553,-43.312633529854416,154.2774791971187,-43.312246307770366,1.616454520623934,5.633747744292101,5.286321840304134,-6.166870079335131
11986,11421,154.382328008512,-43.35912391540314,154.3825197328902,-43.35927253298631,0.7335382234590406,3.117516863458603,3.3065812824242387,6.064583681381783
11988,11436,155.00633590803125,-43.636087280192164,155.00588652887774,-43.63612928836681,1.1805628052612527,1.4929279218974258,1.4845473353112109,-0.5613523910493778
11989,11428,156.1979318109023,-44.15327612974254,156.1976137539374,-44.15336013550754,0.8754127575647092,5.50124496609053,5.987117210866873,8.832041615511423
11990,11429,156.61739519053327,-44.33320932285772,156.61739689305756,-44.33323903630629,0.10705821670128005,4.598116865341709,4.791665222107204,4.209296162617469
11993,11431,153.6744206449318,-43.04373245857075,153.67482592446058,-43.043769048010276,1.0743947455327747,3.4067594876711604,3.600898475790286,5.69864085861365
11994,11432,153.73075353028122,-43.06731487621122,153.73045091270353,-43.0672686860862,0.813066069118018,4.904678126874565,5.013631174471544,2.221410758842356
11997,11437,155.21605179614872,-43.72812803080294,155.2153606935399,-43.727912963159596,1.9575042691385598,31.823731145072376,31.783046928798548,-0.12784238305798876
11998,11438,155.562104302153,-43.879136355649315,155.56190250141952,-43.879250301780374,0.6651910645035229,72.4259163043413,80.07527818788355,10.561636322830676
12004,11430,153.52028372721392,-42.973551800863554,153.5198577850293,-42.97422602005635,2.673942776267444,5.322972288497282,4.876997749182002,-8.37829909952776
12005,11449,154.21954061475222,-43.290388964361945,154.21858793676904,-43.29015399861984,2.63581344324752,948.8544922038476,850.4829441932462,-10.367400778397503
12006,11441,154.4248805625386,-43.38148075973307,154.4246792502529,-43.38166381114845,0.8436243530959032,3.0612352004828303,2.816722784175787,-7.987377652931663
12008,11442,154.84678916177236,-43.568956942160305,154.84647227778922,-43.56891267555207,0.8417711176201114,3.8262285936072042,4.304631945730172,12.503261120422229
12009,11451,154.89793311313363,-43.59225790973317,154.89827517933045,-43.59208713374866,1.083252997256579,11.987775962058386,13.175282905163979,9.905982117651199
12010,11452,155.0932901065397,-43.678396687567016,155.09287872313683,-43.67794828824938,1.9372651252468842,13.12618103559231,12.669110445578129,-3.482129255834664
12016,11454,153.32743050278393,-42.89212373775949,153.32689313416202,-42.891850550210535,1.7251046189649806,577.5995117691646,459.2395876549531,-20.491693933687667
12019,11457,155.96804861585625,-44.06291502895959,155.96761695390597,-44.062722993148284,1.3133392204819467,5.843727748350417,5.975078428786806,2.2477207373917674
12020,11460,156.3786621122837,-44.23964883276364,156.37784107089183,-44.23975977273968,2.154912942051284,3.3746959396447456,2.6475016395089908,-21.548439122853438
12021,11464,156.394340511177,-44.2460099214075,156.39442462680046,-44.24606352710369,0.290339177827536,3.9137107159033944,3.7424681371942126,-4.375453147656934
12023,11461,156.78306001129565,-44.41229339698738,156.7829716949193,-44.412322898824684,0.2507173873866255,2.251707077948851,2.005951092291668,-10.914207627798977
12024,11466,152.69364885792794,-42.6058874982841,152.69434144342532,-42.605682021616104,1.9786210721845154,9.197621162838374,9.12646542086661,-0.7736320154091305
12026,11462,152.9594747201136,-42.72572033800591,152.95942242931426,-42.725583261672774,0.5124851278465449,15.264688672807154,15.244387999962054,-0.13299107030766671
12028,11453,153.08027237271742,-42.78062310417998,153.08034227225022,-42.78077145745025,0.5651051626003716,4.040957547507176,4.157422505505751,2.882112881151678
12031,11469,154.39824347975582,-43.376612906583986,154.39875156819025,-43.376581934327035,1.3341716293494679,4.528821000085789,5.650667764781693,24.77127633604096
12032,11471,155.90345450326564,-44.0372554644034,155.90343499713308,-44.03697467548733,1.012099860796969,14.40772091460288,14.08171118165878,-2.2627432532627245
12036,11476,156.76903865280948,-44.408579998463864,156.7690534854379,-44.40863309591849,0.19491976575639688,7.233072893142243,7.360028879947574,1.7552150888137705
12037,11467,153.4890364354866,-42.96999388448167,153.48926434862747,-42.969713043945816,1.1758428810491197,2.6003825105573894,2.083488856323955,-19.877600781226565
12038,11468,153.83374738954623,-43.12534857238977,153.83363585879195,-43.12540856282325,0.36402930505367415,31.65741915711563,32.30134895717804,2.0340565251595275
12042,11475,156.67980760038762,-44.37166562021102,156.6801027461006,-44.37182348623962,0.9486002416926665,4.174199482216623,4.1802898289306425,0.14590454385245366
12046,11482,153.90631038236063,-43.15949008728931,153.90644640798473,-43.159447076440664,0.38932275825556484,15.929960178471061,15.748621913583507,-1.1383472579713536
12050,11487,154.180501673762,-43.28350668320078,154.1802936941808,-43.28350666368903,0.5450505408102435,30.32791969217346,31.665391788455363,4.410035735576868
12055,11490,156.53670295175448,-44.315423206624466,156.53684709506044,-44.315282986310415,0.6266341026943033,7.592093433452831,7.6425418274843295,0.6644859480944875
12057,11493,154.42426191681258,-43.39411992326991,154.4239020118395,-43.39419919952977,0.9837886948047355,6.12839183797272,6.626762965996145,8.132168131538506
12058,11498,154.79419063511125,-43.560518687249264,154.7942116567655,-43.56022869289671,1.0454190390795244,73.80712550185669,73.81240458777978,0.0071525423693131794
12065,11497,153.4027824287006,-42.939442719078,153.4026560091256,-42.939626939947246,0.7421810812437013,3.2078405246515986,2.6861416314088182,-16.263242802553027
12076,11504,155.75131434868092,-43.98246726843163,155.7507701028165,-43.98209652821236,1.9413659128291894,738.9771985617447,650.1032093843905,-12.02662130175703
12079,11507,153.64438214361843,-43.052800719531746,153.64405606390878,-43.052679501170275,0.9624111732099135,10.331412419878971,9.480159015693333,-8.239467844180881
12081,11508,155.0279557427128,-43.66773112353782,155.02816557821336,-43.66747109970316,1.0839014877526227,6.3026694283503355,6.2871398204053826,-0.24639731024283912
12083,11510,156.71094175920337,-44.39749355137996,156.71087867448932,-44.39722273057872,0.9883662318702681,2.0347372804907344,2.270892295124645,11.606167385745012
12085,11512,153.88754885624544,-43.162286727386594,153.88742057015557,-43.162174986804345,0.52468844346208,15.724889432410237,16.271730942875216,3.4775539301274567
12087,11521,155.14134938492901,-43.72142042194188,155.14138781494543,-43.721304602938595,0.4287692499891419,6.021982212598802,6.223381292847027,3.3443984578179444
12089,11523,155.94255412769266,-44.07029649712485,155.94338851151713,-44.0704361465187,2.2159573517436946,2.848329578176156,2.595721246256193,-8.8686482721467
12090,11526,156.30134220507355,-44.22467844565916,156.30126280415627,-44.2245870621694,0.387539651762561,14.425359505184849,14.626884705911637,1.3970203006334425
12091,11517,156.33969363864426,-44.2398574613341,156.3394499263326,-44.23962694799273,1.0410305873883428,2.8664742528762694,2.999181422421735,4.629630613716657
